Paper#,Citation,No.citations,About,Focus,Location,Abstract
23,"Molony, BW, Lenanton, R, Jackson, G, Norriss, J, & Molony, Brett W. (2003). Stock enhancement as a fisheries management tool. Reviews in Fish Biology and Fisheries., 13(4), 409-432.",111,Decision making tool for stock enhancement,Neutral,Australia,"Stock enhancement has been viewed as a positive fisheries management tool for over 100 years. However, decisions to undertake such activities in the past have often been technology-based, i.e., driven by the ability to produce fishes, with most stock enhancement projects having limited or no demonstrated success. The reasons for this have been due to an inability to identify and/or control the underlying reasons why a fishery is under-performing or not meeting management objectives. Further, stock enhancement has often been applied in isolation from other fisheries management tools ( e. g., effort control). To address these issues and consider stock enhancement in a broader ecosystem perspective, a new approach for stock enhancement is proposed. The proposed model comprises four major steps; a review of all information about an ecosystem/fishery/stock and the setting of clear management targets; a comparison of all relevant fisheries management tools with the potential to meet the management targets; the instigation of a scientifically based, pilot-scale, stock enhancement program with clear objectives, targets, and evaluations; and a full-scale stock enhancement program if the pilot project meets the objectives. The model uses a flow-chart that highlights a broad range of scientific and other information, and the decisions that need to be made in relation to stock enhancement and fisheries management in general. In this way all steps are transparent and all stakeholders ( managers, scientists, extractive and non-extractive users, and the general public) can contribute to the information collection and decision making processes. If stock enhancement is subsequently identified as the most-appropriate tool, then the stepwise progression will provide the best possible chance of a positive outcome for a stock enhancement project, while minimizing risks and costs. In this way, stock enhancement may advance as a science and develop as a useful fisheries management tool in appropriate situations."
24,"Brown, J. Jed, Limburg, Karin E., Waldman, John R., Stephenson, Kurt, Glenn, Edward P., Juanes, Francis, . . . Glenn, Edward P. (2013). Fish and hydropower on the U.S. Atlantic coast: Failed fisheries policies from half-way technologies. Conservation Letters., 6(4), 280-286.",103,Pro-dam removal think piece,Benefit,"East Coast, USA","Globally, diadromous species are at risk from fragmentation by damming of rivers, and a host of other anthropogenic factors. On the United States Atlantic Coast, where diadromous fish populations have undergone dramatic declines, restoration programs based on fishway construction and hatcheries have sustained remnant populations, but large-scale restoration has not been achieved. We examine anadromous fish restoration programs on three large Atlantic Coast rivers, the Susquehanna, Connecticut, and Merrimack with multiple mainstem hydropower dams, most with relatively low generating capacity. Mean passage efficiencies through fishways on these rivers from the first dam to the spawning grounds for American shad are less than 3%. The result is that only small fractions of targeted fish species are able to complete migrations. It may be time to admit failure of fish passage and hatchery-based restoration programs and acknowledge that significant diadromous species restoration is not possible without dam removals. The approach being employed on the Penobscot River, where dams are being removed or provided the opportunity to increase power generation within a plan to provide increased access to habitat, offers a good model for restoration. Dammed Atlantic Coastal rivers offer a cautionary tale for developing nations intent on hydropower development, suggesting that lasting ecosystem-wide impacts cannot be compensated for through fish passage and hatchery technology."
25,"Jarp, J., & Karlsen, E. (1997). Infectious salmon anaemia (ISA) risk factors in sea-cultured Atlantic salmon Salmo salar. Diseases of Aquatic Organisms., 28(2), 79-86.",99,Disease propagation in sea-raised salmon.,Risk,Norway,"A matched case-control study of infectious salmon anaemia (ISA) risk factors in Norwegian salmonid sea sites was performed in 1993. The distribution of potential exposure factors associated with the site management and location was compared in 2 paired groups of sea sites, one group comprising 37 ISA-positive sites and the other 37 ISA-negative sites. The risk of ISA was found to be significantly associated with the location of the site. Location within 5 km from a salmonid slaughterhouse gave an ISA odds ratio of 13.0 compared to location further away. The risk of infection increased by 8.0 if the site was situated closer than 5 km to another ISA-positive site as compared to the risk when the site was more than 5 km away. Disinfecting the waste water from the slaughtering and processing plants seemed to prevent transmission of ISA. The density of fish markets for sea-caught fish was higher in the vicinity of cases than of controls. The risk of ISA was associated with the number of hatcheries delivering smelt to the sea sites, and the risk increased if the hatcheries were located outside the site's home county. The overall results from the present study indicate that ISA is mainly transmitted from infected salmonid sources to clean sites through sea water. Further disease control measures should concentrate on minimising the risk of transmission through sea water by shortening the time period between the diagnosis of ISA and the elimination of positive sites, and should work towards the establishment of 5 km as a minimum distance between sea sites. In addition, decontamination systems must be systematically introduced into the fish processing industry. The implementation of good sanitary practices by fish farmers may also reduce the risk of ISA."
26,"Kostow, K. (2009). Factors that contribute to the ecological risks of salmon and steelhead hatchery programs and some mitigating strategies. Reviews in Fish Biology and Fisheries., 19(1), 9-31.",91,Review of factors contributing to ecological risks from hatchery released fish.,Risk,USA,"State and federal agencies in the United States annually release millions of hatchery salmon and steelhead into public waters. Many of the hatchery programs are located in areas where the wild populations are now listed under the U.S. Endangered Species Act (ESA) (16 U.S.C. A A A 1531-1544). These hatchery programs pose genetic and ecological risks to wild fish populations. Genetic risks occur when hatchery and wild fish interbreed and usually occur within a taxonomic species. Ecological risks occur when the presence of hatchery fish affects how wild fish interact with their environment or with other species and may affect whole species assemblages. This paper reviews some of the factors that contribute to ecological risks. Important contributing factors include the relative abundance of hatchery and wild fish in natural production areas, hatchery programs that increase density-dependant mortality, residual hatchery fish, some physical advantages that hatchery fish can have over wild fish, and life history characteristics that may make some species especially vulnerable to the effects of ecological risks. Many of these risk factors can be mitigated by management activities that reduce the level of interactions between hatchery and wild fish. This paper concludes by recommending twelve mitigation strategies that may be useful when agencies need to bring hatchery programs into compliance with the take provisions of the ESA."
27,"Philippart, J. (1995). Is captive breeding an effective solution for the preservation of endemic species? Biological Conservation, 72(2), 281-295.",98,Genetic conservation considerations for captive breeding programs.,Risk,Southwestern USA,"Captive breeding and the release of captive-bred individuals into the wild are among the techniques used for the conservation of rare and endangered fish species. After a brief description of the methods of captive breeding and the establishment of breeding stocks, this paper provides examples of the application of these techniques to endemic fish species of arid regions in south-western USA and examines some current cases and the future possibilities for their use in the Mediterranean region. Special attention is given to the analysis of the strict constraints imposed on fish breeding for conservation purposes, in which the aim is to produce fish with all the morphological, behavioural and genetic characteristics of the taxa to be conserved, and which are capable of effectively adapting to the natural environment when introduced. In terms of genetic management of captive populations, the fundamental problems which are faced involve the categorization of the species-resources to be conserved (identification of cases of inter- and intra-specific introgression), the establishment of founder stocks that contain the maximum genetic diversity depending on the genetic structure of the species (strong intra- or interpopulation variability), and the retention of genetic variability during captive breeding (the need to reduce to the minimum the phenomena of genetic drift, inbreeding and unintentional selection of non-adapted genotypes). Because of these difficulties and risks in terms of genetic conservation, captive breeding should remain a temporary safeguard measure, while awaiting the implementation of measures for protecting species in their restored original habitat or translocation to strictly protected substitute habitats. With this aim in view and in conclusion, the paper suggests methods for organizing a critical plan to safeguard the most endangered species or subspecies in the Mediterranean region by captive breeding."
28,"Roberts, L., Taylor, J., & Garcia de Leaniz, C. (2011). Environmental enrichment reduces maladaptive risk-taking behavior in salmon reared for conservation. Biological Conservation, 144(7), 1972-1979.",77,Experimental comparison of fish behavior between rearing conditions.,Neutral,United Kingdom,"Hatcheries often produce bold fish that are maladapted to survive in the wild, as absence of predators and selection for fast growth tend to favour risk-taking behaviors. Not surprisingly, losses of hatchery fish through predation can be high immediately after release and this may account for the failure of many ex-situ fish conservation programmes. For supportive-breeding to be useful, it is essential that released fish are able to display natural behaviors. We compared the performance of juvenile Atlantic salmon reared in environmentally-enriched tanks receiving natural prey and subjected to simulated predator attacks with fish reared under standard hatchery conditions while keeping densities constant. No differences were detected between controls and environmentally enriched fish in survival, final size or nutritional status. Yet, changes in rearing conditions had rapid and marked effects on risk-taking behavior. Environmentally enriched fish were 2.1 times less willing, and took significantly longer to leave shelter, than controls within two weeks of enrichment. Thus our study indicates that it is possible through environmental enrichment to modify at least one component of fishes’ behavior known to have clear adaptive implications, i.e. the propensity of hatchery-reared fish to take excessive risks. Ex-situ conservation could therefore benefit from rearing fish in naturalized, structurally complex environments with natural prey to promote the development of more natural behaviors."
29,"Ellner, SP, Fieberg, J, Ellner, Stephen P, & Fieberg, John. (2003). USING PVA FOR MANAGEMENT DESPITE UNCERTAINTY: EFFECTS OF HABITAT, HATCHERIES, AND HARVEST ON SALMON. Ecology., 84(6), 1359-1369.",74,Modelling influence of various factors on extinction risk for Chinook.,Neutral,"Washington, USA","Population viability analysis (PVA) is frequently used to quantify the level of risk associated with various populations and also to examine the relative benefits of alternative management actions. Typically, model predictions are extremely sensitive to estimated parameters, resulting in risk estimates that are very imprecise. Therefore, careful consideration of uncertainty is warranted when reporting PVA predictions. Here, we survey some simple and general simulation-based methods for assessing the uncertainty in model-based forecasts. We then illustrate how these methods can be used for incorporating parameter uncertainty when reporting estimates of extinction risk, using a PVA model developed from data on Pacific Chinook salmon stocks. Several researchers have suggested that relative assessments between management options will be more stable than estimates of extinction risk and population growth rate. We illustrate how the uncertainty in relative assessments can be quantified in a rigorous way. Finally, we show how Sobol' indices can be used to ask: ""Where is the uncertainty coming from?"" These indices are an ANOVA-like decomposition of the effects of parameters on model output that take into account both direct effects (as in standard sensitivity analysis) and effects due to interactions with other parameters. Throughout, we illustrate these methods using models relevant to the life cycle of Pacific salmon, with the intent of assessing the relative influences of habitat, harvest, and hatcheries on the viability of salmon populations. However, the same approaches are applicable to most situations where a model with estimated parameters is being used for forecasting or comparing management options."
30,"Jonsson, B. (1997). A review of ecological and behavioural interactions between cultured and wild Atlantic salmon. ICES Journal of Marine Science., 54(6), 1031-1039.",75,Behavioral comparison between wild and cultured Atlantic salmon.,Neutral,Norway,"Cultured Atlantic salmon (Salmo salar L.) may be introduced into natural systems intentionally or accidentally. As smelts or post-smelts, they move to the feeding areas of wild salmon in the North Atlantic Ocean. As maturing fish, they return to the area of release and enter rivers to spawn. Lack of juvenile river experience is the prime reason why cultured salmon often enter fresh water later in the season than wild fish. During spawning, cultured female salmon from fish farms make fewer nests, tend to breed for a shorter period of time, are poorer at nest covering, and retain greater amounts of unspawned eggs than wild females. Cultured male salmon from fish farms exhibit less combat and display behaviour, have greater difficulty in acquiring access to mates, show less quivering and courting behaviour, and have lower reproductive success than wild males. However, cultured male salmon are more involved in prolonged, reciprocal fights than wild males and are, therefore, more often wounded. The reproductive success of cultured salmon increases with the time the fish have lived in nature before maturing sexually; for cultured females released in nature at the smelt stage, reproductive success is similar to that of wild females. The relative reproductive success of cultured males is smaller than that of corresponding females. Within both sexes of cultured and wild salmon, competitive spawning ability increases with body size. As a phenotypic response to increased growth rate during the first year of life, cultured salmon tend to have smaller sized but more numerous eggs than wild fish of the same size. Offspring of cultured salmon are more generally aggressive, more risk prone, and have a higher growth rate than wild offspring. Consequently, their survival rate in nature may be lower. (C) 1997 International Council for the Exploration of the Sea."
31,"Candy, JR, Beacham, TD, Candy, John R, & Beacham, Terry D. (2000). Patterns of homing and straying in southern British Columbia coded-wire tagged chinook salmon (Oncorhynchus tshawytscha) populations. Fisheries Research., 47(1), 41-56.",70,Testing for homing and straying in hatchery Chinook.,Neutral,"BC, Canada","Chinook salmon (Oncorhynchus tshawytscha) reared in a hatchery can originate from the same river on which a hatchery is located (natal river) or from a foreign river. Non-displacement rearing occurs if juveniles originating from the same drainage as the hatchery are released back into the natal stream. Displacement rearing occurs if part of the rearing and release strategy occurs at a foreign drainage or includes the marine environment. We compared straying between non-displacement and three types of displacement releases where: (1) juveniles are transported, reared in a central hatchery and released back into natal drainage (satellite); (2) or transported, reared in a central or recipient hatchery and released in a foreign drainage (transplant); (3) or reared and released directly into the marine environment away from the home drainage (out-estuary). Compared with non-displacement oaring, displacement-reared fish were between two and five times more likely to stray (2.1-5.3% vs 1.2%). Out-estuary releases had the highest stray rates of the displacement rearing types and were suspected of being least successful at imprinting on the home stream, Analysis of hybrid and transplanted stocks suggested that there was a genetic component to homing. A hybrid stock was three times more likely to stray than the natal stock released at the same time and location (6.2% vs 2.4%). Transplanted fish without exposure to their ancestral drainage were more Likely to stray back to the ancestral drainage than non-transplanted fish released at the same time and location (2.9% vs 0.1%). Approximately 50% of the stray migrants were recovered within 30 km of the release site, indicating that the highest risk of straying may occur during the transition from bi-coordinate navigation to imprinted natal stream clues. (C) 2000 Elsevier Science B.V. All rights reserved."
32,"Bengtsson, BE, Hill, C, Bergman, A, Brandt, I, Johansson, N, Magnhagen, C, . . . Thulin, J. (1999). Reproductive disturbances in Baltic fish: A synopsis of the FiRe project. Ambio : A Journal of the Human Environment., 28(1), 2-8.",67,Disease risk for various fish species.,Neutral,Sweden,"Research within the Swedish FiRe project Reproductive Disturbances in Baltic Fish has focused mainly on the M74 syndrome, which has caused high mortality in fry of sea-run Atlantic salmon (Salmo salar) from the Baltic Sea. At the end of the 4-year project, the cause of M74 is still not known, but the symptoms have been well described and treatment with thiamine (vitamin B-1) has been found to cure afflicted fry. The M74 syndrome shows great similarities to Early Mortality Syndrome (EMS) in salmonids from the North American Great Lakes. Both M74 and EMS are characterized by a diet-related deficiency of thiamine in fry and broodstocks. A combination of factors may contribute to M74, e.g. the diet of salmon in the Baltic Sea, the content of thiamine or thiaminase (an enzyme that degrades thiamine) in their prey fish, ecological changes in Baltic Sea food chains, and pollutants. The few remaining wild, naturally spawning populations of Baltic salmon are at great risk of extinction, as there is no practical method of treating them with thiamine to prevent M74, and they are subject to heavy fishing pressure in the Baltic Sea. A reproductive disturbance similar to M74 occurs in Baltic sea trout (S. trutta), although at lower frequencies than in salmon. The M74 syndrome does not occur in Baltic cod (Gadus morhua), whose reproductive success is impaired mainly by poor oxygen conditions in its deepwater spawning grounds, in combination with heavy fishing pressure on large cod."
33,"Sundstrom, L. F., Lohmuis, M., Tymchuk, W. E., Devlin, Robert H., Sundström, L F, Lõhmus, M, . . . Devlin, Robert H. (2007). Gene–environment interactions influence ecological consequences of transgenic animals. Proceedings of the National Academy of Sciences of the United States of America., 104(10), 3889-3894.",67,Experiment comparing phenotype between transgenic vs wild type fish.,Risk,"BC, Canada","Production of transgenic animals has raised concern regarding their potential ecological impact should they escape or be released to the natural environment. This concern has arisen mainly from research on laboratory-reared animals and theoretical modeling exercises. In this study, we used biocontained naturalized stream environments and conventional hatchery environments to show that differences in phenotype between transgenic and wild genotypes depend on rearing conditions and, critically, that such genotype-by-environment interactions may influence subsequent ecological effects in nature. Genetically wild and growth hormone transgenic coho salmon (Oncorhynchus kisutch) were reared from the fry stage under either standard hatchery conditions or under naturalized stream conditions. When reared under standard hatchery conditions, the transgenic fish grew almost three times longer than wild conspecifics and had (under simulated natural conditions) stronger predation effects on prey than wild genotypes (even after compensation for size differences). In contrast, when fish were reared under naturalized stream conditions, transgenic fish were only 20% longer than the wild fish, and the magnitude of difference in relative predation effects was much reduced. These data show that genotype-by-environment interactions can influence the relative phenotype of transgenic and wild-type organisms and that extrapolations of ecological consequences from phenotypes developed in the unnatural laboratory environment may lead to an overestimation or underestimation of ecological risk. Thus, for transgenic organisms that may not be released to nature, the establishment of a range of highly naturalized environments will be critical for acquiring reliable experimental data to be used in risk assessments."
34,"Sundstrom, LF, Lohmus, M, & Devlin, RH. (2005). Selection on increased intrinsic growth rates in coho salmon, Oncorhynchus kisutch. Evolution : International Journal of Organic Evolution., 59(7), 1560-1569.",67,Size selection in coho,Neutral,"BC, Canada","Substantial evidence from the animal kingdom shows that there is a trade-off between benefits and costs associated with rapid somatic growth. One would therefore expect growth rates under natural conditions to be close to an evolutionary optimum. Nevertheless, natural selection in many salmonid species appears to be toward larger size and earlier emergence from spawning redds, indicating a potential for increased growth rate to evolve. We tested how selection for genetic variants (growth hormone transgenic coho salmon, Oncorhynchus kisutch, with more than doubled daily growth rate potential relative to wild genotypes) depended on predator timing and food abundance during the early period of life (fry stage). In artificial redds, fry of the fast-growing genotypes showed a highly significant developmental shift, emerging from gravel nests approximately two weeks sooner, but with an 18.6% reduced survival, relative to wild-genotype fry. In seminatural streams, fry of the fast-growing genotypes suffered higher predation than those of wild genotypes when predators were present at the time of fry emergence, but this difference was less pronounced when food was scarce. In streams where predators were introduced after emergence, fry survived equally well regardless of food availability. Surviving fry grew faster in habitats provided with more food, and fast-growing genotypes also grew faster than Wild genotypes when predators arrived late and food was abundant. Fewer fish migrated downstream past a waterfall when food availability was high and in the presence of predators, and wild-genotype fry were more likely to migrate than fry of the fast-growing genotypes. After being returned to the experimental streams after migration, fast-growing genotypes survived equally well as those of the same genotypes that did not migrate, whereas migrating wild genotypes experienced higher mortality relative to those of the same genotypes that did not migrate. Comparisons of growth rates between siblings retained under hatchery conditions and those from habitats with the fastest growth in the experimental stream revealed that growth rates were similar for wild genotypes in both environments, whereas the fast-growing genotypes in the streams only realized 90% of their growth potential. The present study has shown that a major shift in developmental timing can alter critical early stages affecting survival and can have a significant effect on fitness. Furthermore, ecological conditions such as food abundance and predation pressure can strongly influence the potential for fast-growing variants to survive under natural conditions. The large-scale removal of many predatory species around the world may augment the evolution of increased intrinsic growth rates in some taxa."
35,"Noakes, DJ, Beamish, RJ, Kent, ML, Noakes, Donald J, Beamish, Richard J, & Kent, Michael L. (2000). On the decline of Pacific salmon and speculative links to salmon farming in British Columbia. Aquaculture., 183(3-4), 363-386.",70,Effects of climate change and other factors on wild coho and chinook populations.,Risk,"BC, Canada","Pacific salmon abundance along the West Coast of Canada has been in sharp decline since the early 1990s, Declines have been most severe for coho and chinook salmon despite large additions of hatchery-reared fry and smolts. There is particular concern for populations of wild coho because, in addition to low abundance, up to 80% of the juvenile coho in the coastal waters has been identified as being produced by enhancement projects. The most likely reasons for the decline in Pacific salmon stocks include a combination of climate change, overfishing, and freshwater habitat destruction. There have also been suggestions that salmon farming in British Columbia has contributed to the decline of salmon stocks. The hypothesized effects of salmon farming include potential ecological interactions as well as disease concerns. In this paper, we consider the effects of climate change on the abundance of wild salmon stocks as well as potential genetic, ecological, and disease concerns. Shifts in climate in 1977 and 1989 resulted in significant changes in production for a number of marine fish species including Pacific salmon. These climate-related changes, combined with local overfishing and the loss of freshwater habitat, have left some salmon stocks at very low levels. Large-scale salmon enhancement projects have also resulted in significant ecological and genetic interactions with wild salmon, particularly for coho and chinook stocks. These interactions have tended to reduce genetic diversity and result in the replacement of wild salmon by hatchery fish. Hatcheries also represent a potential source of disease pathogens although the magnitude of the problem is difficult to quantify because the disease agents of concern are widespread in both wild and hatchery Pacific salmon as well as a number of non-salmonid hosts. In addition, the same antibiotics used in the salmon farming industry are also used in salmon enhancement projects, making it difficult to identify the source of some pathogens. Although farmed salmon are also a potential source for these disease pathogens, surveys of pathogens in wild and hatchery fish show no patterns that could be attributed to salmon fanning. Recent improvements in fish husbandry, including the development and widespread use of vaccines, have also reduced the risk of disease transfer from farmed fish to wild or hatchery fish. The combined evidence indicates that salmon farming, as currently practiced in British Columbia, poses a low risk to wild salmon stocks particularly when compared to other potential factors. (C) 2000 Elsevier Science B.V. All rights reserved."
36,"McClure, Michelle M., Utter, Fred M., Baldwin, Casey, Carmichael, Richard W., Hassemer, Peter F., Howell, Philip J., . . . Petrosky, Charles E. (2008). Evolutionary effects of alternative artificial propagation programs: Implications for viability of endangered anadromous salmonids. Evolutionary Applications., 1(2), 356-375.",67,Authors review risks AND benefits of hatcheries to ESA listed species,Neutral,"Pacific Northwest, USA","Most hatchery programs for anadromous salmonids have been initiated to increase the numbers of fish for harvest, to mitigate for habitat losses, or to increase abundance in populations at low abundance. However, the manner in which these programs are implemented can have significant impacts on the evolutionary trajectory and long-term viability of populations. In this paper, we review the potential benefits and risks of hatchery programs relative to the conservation of species listed under the US Endangered Species Act. To illustrate, we present the range of potential effects within a population as well as among populations of Chinook salmon (Oncorhynchus tshawytscha) where changes to major hatchery programs are being considered. We apply evolutionary considerations emerging from these examples to suggest broader principles for hatchery uses that are consistent with conservation goals. We conclude that because of the evolutionary risks posed by artificial propagation programs, they should not be viewed as a substitute for addressing other limiting factors that prevent achieving viability. At the population level, artificial propagation programs that are implemented as a short-term approach to avoid imminent extinction are more likely to achieve long-term population viability than approaches that rely on long-term supplementation. In addition, artificial propagation programs can have out-of-population impacts that should be considered in conservation planning."
37,"Weir, LK, Hutchings, JA, Fleming, IA, Einum, S, Weir, Laura K, Hutchings, Jeffrey A, . . . Einum, Sigurd. (2004). Dominance relationships and behavioural correlates of individual spawning success in farmed and wild male Atlantic salmon, Salmo salar. The Journal of Animal Ecology., 73(6), 1069-1079.",63,Experimental behavioral comparison between farmed and wild Atlantic salmon,Neutral,Norway,"1. Variance in competitive ability among males should lead to a corresponding skew in reproductive success. Atlantic salmon (Salmo salar) males form dominance hierarchies during spawning, such that the dominant individuals are predicted to realize the highest reproductive success. However, the degree to which this occurs depends on various genetic and environmental factors. 2. We investigated the influence of the aquaculture environment on male Atlantic salmon behaviour during spawning in three experiments involving groups of either purely farmed or wild males, or mixed groups composed of equal numbers of farmed and wild fish. The objective of this study was to compare and contrast the formation of dominance hierarchies and relationships between aggression, courtship and spawning success in farmed and wild males. 3. Although farmed males did not establish dominance hierarchies as effectively as wild males, they courted and spawned with females in larger numbers and they frequently failed to release sperm when females released eggs. 4. Dominance structures established by wild males led to reliable behavioural correlates of spawning success; this was not the case among farmed males. 5. From the risk-assessment perspective, farmed males can be expected to have reduced spawning success, although the degree of reproductive inferiority of farmed relative to wild males depends upon rearing environment and the populations under consideration."
38,"Berejikian, Barry A., Van Doornik, Donald M., Endicott, Rob C., Hoffnagle, Timothy L., Tezak, Eugene P., Moore, Megan E., . . . Moore, Megan E. (2010). Mating success of alternative male phenotypes and evidence for frequency-dependent selection in Chinook salmon, Oncorhynchus tshawytscha. Canadian Journal of Fisheries and Aquatic Sciences, 67(12), 1933-1941.",58,Factors contributing to Pacific salmon spawning success,Neutral,"Oregon, USA","As with other species, frequency-dependent selection during reproduction has long been proposed as an important mechanism in maintaining alternative male reproductive phenotypes in Pacific salmon (Oncorhynchus spp.). Jack salmon mature one year earlier than the youngest females in a population and are much smaller than older ""adult'' males. We tested the hypothesis that mating success of both phenotypes is consistent with the frequency-dependent selection model. By holding male density constant and varying the frequency of adults and jacks in eight separate breeding groups, we found that adult male access to females, participation in spawning events, and adult-to-fry reproductive success increased with their decreasing frequency in a breeding group. Jacks exhibited the same pattern (increasing success with decreasing frequency), although the relationships were not as strong as for adults. Overall, jack and adult males mated with a similar number of females, but jacks sired only 20% of all offspring. Observational data suggested that adult males benefited from sperm precedence associated with their ability to court females and enter the nest first at the time of spawning. Our work provides the first experimental evidence of frequency-dependent selection during mating in the family Salmonidae."
39,"Morita, K., Saito, T., Miyakoshi, Y., Fukuwaka, M., Nagasawa, T., & Kaeriyama, M. (2006). A review of Pacific salmon hatchery programmes on Hokkaido Island, Japan. ICES Journal of Marine Science., 63(7), 1353-1363.",61,Review and recommendations about salmon hatcheries in Japan.,Benefit,Japan,"Hatchery programmes involving the mass release of cultured fish have been implemented worldwide to supplement wild populations and to increase harvests. Hokkaido Island is one of the most active regions for Pacific salmon hatchery programmes, with ca. 1.2 billion (10(9))juveniles released annually along a coastline of ca. 3000 km, During the last quarter of the 20th century, coastal catches of chum and pink salmon increased dramatically, whereas those of masit salmon did not. In addition to the development of hatchery technologies, several possible hypotheses may explain these catch trends, including climate change, closing of hi-h-seas fisheries, rehabilitation of water quality, habitat loss caused by damming and channelling, and increased pressure from recreational fisheries. Even when these other factors have been accounted for, it is difficult to evaluate whether all hatchery programmes have actually increased net populations. To use these programmes more effectively, it is necessary to evaluate both their river- and species-specific benefits and compare hatchery programmes with other management tools, such as fishery controls and habitat rehabilitation. Future hatchery programmes should incorporate active, adaptive learning approaches to minimize the risks associated with artificial propagation and to promote sustainable salmon stocks."
40,"Vilhunen, S. (2006). Repeated antipredator conditioning: A pathway to habituation or to better avoidance? Journal of Fish Biology., 68(1), 25-43.",60,Experiment on how hatchery juveniles' exposure to stimuli affects survival,Neutral,Finland,"Hatchery-reared juveniles of Arctic charr Salvelinus alpinus were conditioned to the odours of Arctic charr-fed pikeperch Sander lucioperca in the absence of any other cues. Accordingly, there was no physical threat of capture for the Arctic charr. It was evident from the subsequent survival tests that a single exposure to predator odours was enough to increase Arctic charr survival compared to predator-naive control fish whist under direct threat from live predators. Instead of habituating to predator odours, the fish conditioned repeatedly (four times) improved their spatial avoidance of predator cues in the course of training. The repeated conditioning also further enhanced the survival of the test fish as compared to the singly conditioned fish. The economical and ethical advantages of training with chemical cues, combined with its high reliability, could promote the success of fish reintroductions especially through repeated antipredator conditioning. (c) 2006 The Fisheries Society of the British Isles."
41,"Brooker, Adam J., Papadopoulou, Athina, Gutierrez, Carolina, Rey, Sonia, Davie, Andrew, Migaud, Herve, & Brooker, Adam J. (2018). Sustainable production and use of cleaner fish for the biological control of sea lice: Recent advances and current challenges. The Veterinary Record : Journal of the British Veterinary Association., 183(12), 383.",55,Multiple fish aquaculture to enable one fish to 'delouse' the salmon.,Benefit,"Scotland, United Kingdom","Currently, cleaner fish are one of the most widely used sea lice control strategies in Atlantic salmon aquaculture. Two species are currently being farmed in North Atlantic countries, ballan wrasse (Labrus bergylta) and lumpfish (Cyclopterus lumpus), and the sector in most countries is rapidly expanding towards self-sufficiency. The species are very different both in terms of their biology and life histories and, consequently, production and husbandry methods must be tailored to each species. There are numerous health challenges currently experienced in both species, with bacterial and parasitic diseases being the most prevalent, and cohabitation with salmon may increase the risk of disease. Good husbandry and routine health monitoring are essential, although treatment is often required when disease outbreaks occur. Ballan wrasse and lumpfish are both proven to be effective salmon delousers, although delousing efficacy can be variable in farmed fish; the provision of suitable habitat and acclimation to net-pen conditions may encourage natural behaviours, including delousing, and the use of operational welfare indicators can highlight potential welfare issues. Cleaner fish research is progressing rapidly, although much of the basic knowledge regarding the species' biology remains unknown. The simultaneous domestication of two new marine aquaculture species is a significant challenge demanding sustained effort and funding over a prolonged period of time. Research must focus on enhancing the robustness of the farmed stocks and increasing hatchery outputs to meet the urgent demands from the salmon sector and protect wild stocks from overfishing."
42,"Bessey, C, Devlin, RH, Liley, NR, Biagi, CA, Bessey, Cindy, Devlin, Robert H, . . . Biagi, Carlo A. (2004). Reproductive Performance of Growth-Enhanced Transgenic Coho Salmon. Transactions of the American Fisheries Society., 133(5), 1205-1220.",61,"Behavior, phenotypes, and interactions between transgenic and wild type coho.",Risk,"BC, Canada","The reproductive performances of growth-enhanced transgenic, hatchery, and cultured nontransgenic coho salmon Oncorhynchus kisutch were examined to investigate the consequences of reproductive interaction between growth hormone (GH)-transgenic fish and wild fish that may occur if transgenic salmon escaped into the natural environment. We examined adult morphological phenotypes, gamete quantity and quality, in vitro offspring production, courtship and spawning behavior, male competitive behavior, and transgene transmission to offspring. Transgenic, hatchery, and cultured nontransgenic fish required 2, 3, and 3 or 4 years, respectively, to reach sexual maturation. No differences in male gamete quantity or in vitro offspring production were observed. Transgenic females were more fecund than hatchery females but had smaller eggs. Fewer transgenic females spawned than hatchery females under experimental conditions, and transgenic females displayed consistently low levels of courtship behavior. In noncompetitive trials, there were no differences in the courtship behavior of transgenic and hatchery males; during competition with hatchery males, however, transgenic males failed to spawn and displayed less courtship and competitive behavior. Cultured nontransgenic salmon also displayed reduced spawning capacity relative to hatchery salmon, indicating that the effects observed in transgenic salmon may arise in part from being reared in the culture environment and highlighting the difficulty in using laboratory-reared transgenic fish to assess reproductive fitness because of the strong genotype-environment interactions. As long as wild-reared transgenic fish are unavailable, exact determinations of reproductive fitness will be difficult. However, these studies have shown that in a simulated natural environment, growth-enhanced transgenic coho salmon do display courtship behavior and can spawn, producing viable transgenic offspring. The findings suggest some capacity exists for the natural transmission of transgenes to populations arising from reproductive interaction, which could occur during first contact between escaped cultured transgenic fish and wild conspecifics."
