Paper_Number,Type_of_salmon,Category,ESB,ESP,Hatchery_fish,Sentence_about_service,Service_in_my_words,Type_of_interaction,CICES_section1,CICES_division1,CICES_group1,CICES_class1,CICES_code1,CICES_section2,CICES_division2,CICES_group2,CICES_class2,CICES_code2,CICES_section3,CICES_division3,CICES_group3,CICES_class3,CICES_code3,EE_domain1,EE_code1,EE_domain2,EE_code2,EE_domain3,EE_code3
21,Blueback (sockeye),socio,Quinault Nation,blueback via social structures,No,"""As the economic domain demonstrates, salmon-dependent jobs are mostly seasonal. While this can be a financial burden, it is also a preferred lifestyle and thus a critical cultural element for many. Seven respondents believed that salmon allows for a preferred and more traditional lifestyle that is similar to their ancestors. 'It gives me a little more time in the summertime with my family and my kids.' M 20–50"" (1399)","Identity, heritage",Indirect,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that are resonant in terms of culture or heritage,3.1.2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Knowledge & Practices,Heritage,Knowledge & Practices,Identity,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,blueback,No,"""Seven respondents discussed how blueback is a part of the QIN identity. High school students referred to salmon as the tribe’s mascot. Older members discussed how salmon is the “heartbeat of our people” (M 20–50)."" (1399)","Identity, symbol",Direct,Cultural ,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting","Spiritual, symbolic and other interactions with natural environment",Elements of living systems that have symbolic meaning,3.2.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Knowledge & Practices,Identity,NA,NA,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,blueback,No,"""Seven interview respondents described salmon’s association with nutrition and Physical Health, viewing it as a source of protein that contains vitamins and nutrients that will make them live a long, healthy life."" (1399)",Physical Health,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Reared aquatic animals  for nutrition, materials or energy",Animals reared by in-situ aquaculture for nutritional purposes,1.1.4.1,NA,NA,NA,NA,NA,Health,Physical Health,NA,NA,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,blueback,No,"""Elders specifically prefer to eat salmon when they are sick because they believe its nutritional value aids healing. 'Salmon? It’s healthy. Salmon is good for you. Like Omega 3 in salmon? Might make you live longer.' M 50–80"" (1399)","Health, nutrition, values",Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Reared aquatic animals  for nutrition, materials or energy",Animals reared by in-situ aquaculture for nutritional purposes,1.1.4.1,NA,NA,NA,NA,NA,Health,Physical Health,Knowledge & Practices,Traditional Values,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,blueback,No,"""If members are unable to consume salmon regularly, they believe they may become allergic or intolerant to salmon when they do eat it. 'And I think the system, your body system, when you go without too much [salmon], then it’s not accepting those kind of oils and stuff when you’re eating it. And you get allergic to it. My daughter used to just love fish, but she said now when she goes to eat it, her stomach gets upset. F 50–80'"" (1399-1400)",Health,Direct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Health,Physical Health,NA,NA,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,blueback,No,"""According to many respondents, more salmon available for consumption could improve the Physical Health of community."" (1400)","Food, Physical Health",Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Reared aquatic animals  for nutrition, materials or energy",Animals reared by in-situ aquaculture for nutritional purposes,1.1.4.1,NA,NA,NA,NA,NA,Health,Physical Health,Livelihood,Food,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,tribes via blueback,No,"""Six respondents referred to transparent policymaking processes as influencing their well-being in relationship to salmon. They described a lack of communication between tribal-employed scientists and the community, affecting salmon management and public understanding of what is being done to help the river. Many respondents were unaware of how restoration projects would help the salmon population. 'I just think there’s gotta be a little more focus on how they go about getting the fisherman in the public know. I don’t know how much impact they had on the manmade dams in the upper Quinault. M 50–80' Those who mentioned a problem with communication had worked in the fishing industry at some point, whereas those who were completely unaware of restoration projects never had fishing-related jobs."" (1400)",Indigenous governance,Indirect,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indigenous Management,"Indigenous Laws, Government & Institutions",NA,NA,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,tribes via blueback,No,"""Five respondents discussed the lack of opportunities to participate in the decision-making process and that this resulted in mistrust. Specifically, members felt that those who were in charge of managing salmon did not listen to their opinions. 'So most of the problem from these gillnets right here. And the problem comes from our committee there, fish and game committee.' M 20–50 "" (1400)",Indigenous governance,Indirect,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indigenous Management,"Indigenous Laws, Government & Institutions",NA,NA,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,tribes via blueback,No,"""Despite the perceived flaws in the governance of salmon, the tribe values its stewardship activities, including hatcheries. The QIN members view themselves as environmental stewards and are proud of their overall management. They believe salmon is a part of who they are and are willing to do whatever it takes to ensure its survival. 'We are in a pretty unique system here, though the Parks Service, the Forest Service, and the Quinaults. It is all tribal ownership and not as much industrial pollution.' M 50–80"" (1401)","Management, traditional values",Indirect,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indigenous Management,Indigenous Management Systems,Knowledge & Practices,Traditional Values,NA,NA
21,Blueback (sockeye),socio,Quinault Nation,tribes via blueback,No,"""For example, in the QIN, imminent policies include a forest management plan and other salmon habitat restoration activities. The former includes the designation of riparian buffer widths that are hypothesized to enhance salmon streams by preventing erosion."" (1402)",Management,Indirect,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indigenous Management,Indigenous Management Systems,NA,NA,NA,NA
22,Not specified,eco,brown bear,spawning salmon,No,"""Brown bears (Ursus arctos) are apex predators that prey intensively on spawning salmon (Oncorhynchus spp.) in coastal ecosystems of the North Pacific."" (10432)",Provision for terrestrial species,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Not specified,eco,"bears, salmon, plant pollinators, terrestrial food webs",spawning salmon,No,"""[Predation of salmon by brown bears] has far-reaching effects, influencing not only the energy budgets and demographic rates of bears (14, 15) but also the evolution of salmon populations (16), the coevolution of plant pollinators (17), and the dispersal of marine-derived nutrients into terrestrial food webs (18, 19)."" (10432)","Energy provision, nutrient provision, evolution","Direct, Indirect",Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Regulation & Maintenance ,Other types of regulation and maintenance service by living processes,Other,Other,2.3.X.X,NA,NA,NA,NA,NA,NA
22,Sockeye,eco,brown bear,adult salmon,No,""" In shallow streams, bears can kill prespawn salmon that are up to three times more energy dense than senescent fish (22, 23)."" (10432)",Energy provision to terrestrial animals,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Not specified,eco,aquatic and terrestrial systems,salmon carcasses,No,"""After spawning, they die and deliver valuable nutrients to surrounding aquatic and terrestrial ecosystems (Schindler et al. 2003; Helfield and Naiman 2006)."" (955)","Provisioning nutrients, water quality regulations",Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Not specified,eco,terrestrial systems,spawning salmon via bears,No,"""Foraging bears facilitate salmon nutrient transfer to terrestrial habitats, as they pull live fish out of streams and leave their carcasses on land nearby (Hilderbrand et al. 1999; Quinn et al. 2009). Once a salmon carcass is abandoned by a bear, the remains become available to a suite of other species (e.g., insects and scavenging birds) that transfer nutrients (reviewed in Gende et al. 2002 and Janetski et al. 2009). These nutrients are also incorporated into surrounding plant matter (Hocking and Reynolds 2011; Hocking and Reynolds 2012) and can have impacts on local breeding bird communities (Christie and Reimchen 2008; Field and Reynolds 2011)."" (955)","Provisioning nutrients, regulating soil chem","Direct, Indirect",Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Regulation of soil quality,Decomposition and fixing processes and their effect on soil quality,2.2.4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Not specified,eco,"riparian systems, esp caddisfly",bear-killed salmon,No,"""Carcasses left in the riparian zone are particularly important to nutrient transfer because they are less likely to be washed downstream into the estuary than the senescent salmon that die in the streams (Cederholm et al. 1989). Even bear-killed salmon abandoned within streams have more value, in nutrient terms, than senescent salmon carcasses, for certain species. For example, caddisfly (Trichoptera) larvae preferentially colonize bear-killed salmon due to increased temporal availability, energetic content, and accessibility of tissue (Winder et al. 2005). The amount of salmon biomass abandoned by bears is, therefore, an important component to overall nutrient transfer to both terrestrial and aquatic pathways."" (955)","Provisioning biomass, energy; regulating nursery habitat",Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions","Lifecycle maintenance, habitat and gene pool protection",Maintaining nursery populations and habitats (Including gene pool protection),2.2.2.3,NA,NA,NA,NA,NA,NA
24,"Pink, chum",eco,wolf,salmon,No,"""we excluded measurements of wolf-killed salmon, which are distinguished by their clean, surgical removal of the brain case and abandonment of the rest of the carcass (Darimont et al. 2003). "" (957)",Provisioning for terrestrial species,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Pink, chum",eco,bears,"salmon, esp. more energetic females and chum",No,"""Bears selectively consumed 31% of all carcasses examined across the 12 streams (n = 659), with a higher proportion of selective consumption of females (38.6%) than of males (20%), and more on chum (35.7%) than on pink salmon (25.4%). In species by gender subgroups, selective consumption occurred on 31.2% of pink females, 15.3% of pink males, 44.6% of chum females, and 23.7% of chum males."" (959) --> indicates energy selection",Energy provision for terrestrial species,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Pink, chum, sockeye, chinook",eco,"trout, bears, birds","salmon, salmon eggs",No,"""This variability allows trout, bears, and various birds (e.g., gulls) to eat salmon and salmon eggs for months rather than weeks by moving progressively from colder to warmer streams (Ruff et al., 2011; Schoen et al., 2017)"" (4)","Provisioning for stream-resident fish, terrestrial species",Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Pink, chum, sockeye, chinook",socio,Indigenous communities,salmon,No,""" Diversity in the timing of migration can also extend fishing seasons and improve food security for Indigenous and other people (Nesbitt and Moore, 2016)."" (4)",Provisioning for tribes,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,Livelihood,Food,Livelihood,Security,NA,NA
25,"Pink, chum, sockeye, chinook",eco,"trees, globe",salmon and MDN,No,"""salmon provide a bridge between marine, freshwater, and terrestrial ecosystems, enriching adjacent forests through nutrient transfer that enhances tree growth (Quinn et al., 2018), and carbon sequestration."" (4)","Nutrient provision, carbon sequestration",Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Regulation & Maintenance ,Transformation of biochemical or physical inputs to ecosystems,Mediation of wastes or toxic substances of anthropogenic origin by living processes,"Filtration/sequestration/storage/accumulation by micro-organisms, algae, plants, and animals",2.1.1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Pink, chum, sockeye, chinook",socio,Indigenous communities,salmon,No,"""For Indigenous peoples in particular, wild foods such as salmon are a central facet of culture and social relationships as well as subsistence"" (8)","Provisioning, cultural, social","Direct, Indirect",Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that are resonant in terms of culture or heritage,3.1.2.3,Livelihood,Food,Social,Cohesion,Knowledge & Practices,Identity
25,"Pink, chum, sockeye, chinook",socio,commercial and recreational fisheries,salmon,No,"""In contemporary times, salmon support multi-billion industries in Alaska through harvest by commercial fishermen and recreational anglers (Johnson et al., 2019)."" (9)",Provisioning income,Direct,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Physical and experiential interactions with natural environment,"Characteristics of living systems that that enable activities promoting health, recuperation or enjoyment through active or immersive interactions ",3.1.1.1,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Fibres and other materials from animals grown by in-situ aquaculture for direct use or processing  (excluding genetic materials),1.1.6.2,NA,NA,NA,NA,NA,NA
25,"Pink, chum, sockeye, chinook",socio,climate scientists,salmon via climate change,No,""" Salmon are harbingers of climate change and are increasingly observed in Arctic regions where Indigenous Peoples have little or no experience interacting with salmon (Dunmall et al., 2013) and where community reception to the newcomers is mixed (Carothers et al., 2019)."" (9)",Enabling research,Direct,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that enable scientific investigation or the creation of traditional ecological knowledge,3.1.2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,sockeye,eco,periphyton,spawning salmon,No,"""Periphyton δ15N on rocks of all size classes was higher at peak salmon spawning than before the salmon run, indicating the uptake of salmon-derived nitrogen. Peak δ15N values were positively related to salmon abundance and followed a two-isotope mixing relationship."" (2598)",Nutrient provision,Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,sockeye,eco,periphyton,spawning salmon,No,"""Nitrogen from salmon was a large proportion of the total N pool in periphyton during salmon spawning (Fig. 6b) and salmon nutrients are probably used by both the autotrophic and heterotrophic components of periphyton."" (2609)",Nutrient provision,Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Not specified,eco,FW ecosystems,anadromous salmon,No,"""During the oceanic phase, salmon accumulate the majority of their growth (>95%) and, as a result, mass spawning migrations of salmon transport large amounts of nutrients, energy and organic matter to inland waters."" (2599)",all 3 provisioning,"Direct, Indirect",Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Fibres and other materials from wild animals for direct use or processing (excluding genetic materials),1.1.6.2,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA
27,Not specified,eco,terrestrial and aquatic food webs,anadromous salmon,No,"""Many studies have shown that, in areas with sizable salmon runs, nutrients from salmon permeate throughout both terrestrial and aquatic food webs (e.g. Bilby, Fransen & Bisson, 1996; Hilderbrand et al., 2004; Hocking & Reimchen, 2006)."" (2599)",Nutrient provision,"Direct, Indirect",Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,sockeye,eco,algae,low density spawning salmon,No,"""Algal biomass on vulnerable rocks increased at peak salmon spawning relative to before salmon in all streams with a salmon density <0.1 fish m−2 and decreased in streams with ≥0.2 fish m−2 (Table 2)."" (2604)",Biomass provision (growth --> energy),Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,sockeye,eco,"streams, primary producers",sockeye,No,"""Using five to seven years of data from an Alaskan stream supporting moderate salmon densities, we show that salmon predictably increased stream water nutrient concentrations, which were on average 190% (nitrogen) and 390% (phosphorus) pre-salmon values, and that primary  producers incorporated some of these nutrients into tissue"" (373)","stream chem, nutrient provision","Direct, Indirect",Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,sockeye,eco,streams,spawning salmon,No,"""Multiple years of data showed a consistent pattern of increased total phosphorus (TP) and nitrogen (TN) in Pick Creek stream water coincident with seasonal residence of spawning salmon... Samples included both particulate and dissolved nutrients and thus reflect both nutrient excretion and mineralization directly from salmon, as well as mobilization of nutrients in sediments through the effect of nest digging (Moore et al. 2007). "" (377)",stream chem (TP + TN),"Direct, Indirect",Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,sockeye,eco,streams,spawning salmon,No,"""Salmon also changed the physical properties of the stream, increasing air-water gas exchange by nearly 10-fold during peak spawning."" (373)",stream chem (DO),Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,sockeye,eco,streams,sockeye,No,"""Nighttime 813C-DIC values reflect respired carbon sources in the absence of photosynthesis; salmon are an enriched source of carbon compared to both terrestrial and aquatic organic matter (Appendix C"" (381)",stream chem (DIC),Unclear,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Not specified,eco,riparian ecosystem,anadromous salmon,No,"""Upon their migration from the ocean to freshwater natal habitats where they eventually spawn and die, salmon can provide substantial subsidies of nutrients, organic matter, and energy to coastal freshwater and riparian ecosystems throughout the coastal North Pacific (Naiman et al. 2002, Schindler et al. 2003)"" (374)",all 3 provisioning,"Direct, indirect",Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Fibres and other materials from wild animals for direct use or processing (excluding genetic materials),1.1.6.2,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA
28,Not specified,eco,consumers,salmon,No,"""the dependence of a wide variety of consumers on salmon has been well documented (Willson and Halupka 1995, Gende et al. 2002)"" (374)",predation,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Not specified,eco,periphyton,salmon,No,"""Comparisons of standing biomass and stable isotope ratios in algae among streams of varying salmon density have shown positive effects of marine-derived nutrients (MDN) on stream periphyton (Wipfli et al. 1998, Johnston et al. 2004, Chaloner et al. 2007)"" (374)","provisioning energy, nutrients",Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,sockeye,eco,periphyton,spawning salmon,No,"""Year-to-year variation in TP and TN was greatest during the salmon spawning period and was correlated with salmon density (Moore et al. 200"" (378)",provisioning nutrients,Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,sockeye,eco,aquatic food webs,spawning salmon,No,"""We suggest that the energy provided by salmon to aquatic food webs and the role they play as sources of physical disturbance are an equal, if not more important, external subsidy than nutrients alone."" (383)","provision of energy, stream chem",Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Not specified,eco,bears,adult salmon,No,"""Bears are highly omnivorous (Mowat and Heard 2006) but need to accumulate energy in the late summer and fall for over-wintering (Farley and Robbins 1995; Watts and Jonkel 1988), so the abundance of salmon makes them a focal resource for bears in many coastal systems (Hilderbrand et al. 1999; Reimchen 2000; Van Daele et al. 2013)."" (416)",provision of energy,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Not specified,eco,bears,salmon carcasses,No,"""As previously noted (Quinn et al. 2001, 2003), some salmon that die of senescence are scavenged by bears postmortem (Quinn and Buck 2000) and so might be misclassified as bear-killed."" (418)",predation,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Not specified,eco,streams,salmon carcasses,No,"""The semelparous salmon inevitably die after spawning, so the nutrients in their bodies imported from the ocean will enter the ecosystem (Naiman et al. 2002; Willson et al. 2004) regardless of whether the fish are killed prior to spawning or not. "" (423)",stream chem,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Sockeye,eco,riparian systems,salmon carcasses via bears,No,"""Sampling in three of the streams included in the present study (Hansen, Bear, and Yako creeks) revealed that bear predation increased carcass deposition on land, and carcasses in deeper, more structurally complex streams were more likely to remain within the channel than in shallow, simple streams (Meehan et al. 2005). Thus, stream habitat affects nutrient cycling indirectly, via bear predation rate, and directly, via carcass deposition patterns."" (423-4)",stream + soil chem,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Regulation of soil quality,Decomposition and fixing processes and their effect on soil quality,2.2.4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Not specified,eco,"soil, land bugs",salmon carcasses,No,"""Carcasses in the riparian zone (mostly deposited by bears) are extensively scavenged by blowfly maggots (Meehan et al. 2005) and other terrestrial insects (Hocking et al. 2009) and birds (Quinn and Buck 2000), and the nutrients are cycled through the soils of the riparian zone (Gende et al. 2007; Holtgrieve et al. 2009)."" (424)","scavenging, soil chem",Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Regulation of soil quality,Decomposition and fixing processes and their effect on soil quality,2.2.4.2,NA,NA,NA,NA,NA,NA
